                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.2587,                 1.1902,                 1.5812,                0.74866,                0.69174,                0.75754,                 0.4991,                 1.2007,                0.97266,                  1.578,               0.002674,               0.002674,               0.002674
                     77,                 1.2598,                 1.1899,                 1.5839,                0.74521,                0.69462,                0.75886,                0.50044,                 1.2001,                0.97114,                  1.577,               0.002575,               0.002575,               0.002575
                     78,                 1.2555,                 1.1896,                 1.5776,                0.73123,                0.70555,                0.75923,                 0.5011,                  1.199,                0.97136,                 1.5755,               0.002476,               0.002476,               0.002476
                     79,                 1.2484,                 1.1731,                 1.5737,                0.73663,                 0.7047,                0.75883,                0.50024,                 1.2001,                 0.9725,                  1.577,               0.002377,               0.002377,               0.002377
                     80,                 1.2398,                  1.175,                 1.5685,                0.75393,                0.69415,                   0.76,                0.50094,                 1.2006,                0.97066,                 1.5769,               0.002278,               0.002278,               0.002278
                     81,                 1.2517,                 1.1728,                 1.5761,                0.75488,                0.69215,                0.76069,                0.50228,                 1.1998,                0.96994,                 1.5768,               0.002179,               0.002179,               0.002179
                     82,                 1.2417,                 1.1584,                  1.559,                0.75071,                 0.6936,                 0.7613,                0.50208,                 1.2005,                0.96932,                 1.5759,                0.00208,                0.00208,                0.00208
                     83,                 1.2484,                 1.1607,                 1.5671,                0.75605,                0.69414,                0.76183,                 0.5028,                 1.2004,                0.96861,                  1.575,               0.001981,               0.001981,               0.001981
                     84,                 1.2339,                 1.1475,                 1.5555,                0.76228,                0.69139,                0.76173,                0.50252,                 1.2015,                0.96611,                 1.5752,               0.001882,               0.001882,               0.001882
                     85,                 1.2314,                 1.1464,                 1.5556,                0.75821,                0.69436,                 0.7611,                0.50206,                 1.2021,                0.96464,                 1.5756,               0.001783,               0.001783,               0.001783
                     86,                 1.2329,                 1.1396,                 1.5565,                0.76156,                0.68795,                0.76088,                 0.5025,                 1.2017,                0.96453,                 1.5748,               0.001684,               0.001684,               0.001684
                     87,                 1.2195,                 1.1287,                 1.5466,                0.75626,                0.69006,                0.76116,                0.50219,                 1.2018,                0.96427,                 1.5747,               0.001585,               0.001585,               0.001585
                     88,                 1.2184,                 1.1212,                 1.5452,                0.75687,                 0.6914,                0.76199,                0.50167,                 1.2027,                0.96359,                 1.5749,               0.001486,               0.001486,               0.001486
                     89,                 1.2254,                 1.1261,                 1.5468,                0.76192,                0.68885,                0.76223,                 0.5019,                 1.2034,                0.96273,                 1.5746,               0.001387,               0.001387,               0.001387
                     90,                 1.2181,                 1.1204,                  1.547,                0.76181,                0.69037,                0.76322,                0.50219,                 1.2048,                0.96118,                 1.5756,               0.001288,               0.001288,               0.001288
                     91,                 1.1643,                0.95227,                  1.522,                0.74513,                0.70279,                0.76358,                0.50305,                 1.2055,                0.95958,                 1.5756,               0.001189,               0.001189,               0.001189
                     92,                 1.1499,                0.92944,                 1.5112,                0.76226,                0.68797,                 0.7633,                0.50283,                  1.206,                0.95839,                 1.5758,                0.00109,                0.00109,                0.00109
                     93,                 1.1491,                0.92125,                 1.5077,                0.76249,                0.68863,                0.76321,                0.50258,                 1.2057,                0.95754,                 1.5761,               0.000991,               0.000991,               0.000991
                     94,                 1.1386,                0.91255,                 1.5063,                0.76406,                0.68739,                0.76324,                0.50294,                 1.2057,                0.95709,                 1.5764,               0.000892,               0.000892,               0.000892
                     95,                 1.1369,                0.90031,                 1.4961,                0.76018,                0.68967,                0.76296,                0.50219,                 1.2058,                0.95721,                 1.5769,               0.000793,               0.000793,               0.000793
                     96,                 1.1369,                0.89762,                 1.4988,                0.75676,                 0.6917,                0.76258,                0.50209,                 1.2063,                0.95745,                 1.5774,               0.000694,               0.000694,               0.000694
                     97,                 1.1226,                0.88466,                 1.4889,                0.75479,                0.69401,                0.76208,                 0.5017,                 1.2069,                0.95775,                 1.5782,               0.000595,               0.000595,               0.000595
                     98,                 1.1175,                0.87785,                 1.4853,                0.75475,                0.69282,                0.76179,                0.50152,                 1.2074,                0.95809,                 1.5791,               0.000496,               0.000496,               0.000496
                     99,                 1.1166,                0.87858,                 1.4869,                0.75392,                 0.6921,                0.76231,                0.50175,                 1.2076,                0.95819,                 1.5796,               0.000397,               0.000397,               0.000397
                    100,                 1.1127,                0.87416,                 1.4774,                0.75122,                  0.694,                0.76194,                0.50162,                 1.2076,                 0.9579,                 1.5802,               0.000298,               0.000298,               0.000298
