                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2693,                  1.219,                 1.5505,                0.74813,                0.67523,                0.74267,                0.48277,                  1.188,                0.98808,                 1.4968,               0.002278,               0.002278,               0.002278
                     81,                 1.2815,                 1.2178,                 1.5563,                0.74215,                0.67878,                0.74286,                0.48235,                  1.188,                0.98809,                 1.4963,               0.002179,               0.002179,               0.002179
                     82,                 1.2711,                 1.2009,                 1.5464,                0.74364,                0.68135,                 0.7446,                0.48291,                 1.1885,                0.98621,                 1.4962,                0.00208,                0.00208,                0.00208
                     83,                 1.2775,                 1.2063,                 1.5549,                0.74976,                  0.681,                0.74482,                0.48297,                 1.1888,                0.98476,                 1.4957,               0.001981,               0.001981,               0.001981
                     84,                 1.2628,                 1.1947,                 1.5427,                0.74909,                 0.6801,                0.74535,                0.48326,                 1.1903,                0.98391,                 1.4962,               0.001882,               0.001882,               0.001882
                     85,                 1.2601,                 1.1922,                 1.5414,                0.74623,                0.68083,                 0.7452,                0.48284,                 1.1888,                0.98307,                 1.4947,               0.001783,               0.001783,               0.001783
                     86,                 1.2607,                 1.1898,                 1.5412,                0.74723,                0.67969,                0.74518,                0.48274,                  1.188,                0.98154,                 1.4941,               0.001684,               0.001684,               0.001684
                     87,                  1.253,                 1.1754,                  1.537,                0.74667,                0.68092,                0.74535,                0.48273,                 1.1878,                0.98026,                 1.4941,               0.001585,               0.001585,               0.001585
                     88,                 1.2546,                 1.1681,                 1.5354,                0.75173,                0.67865,                0.74536,                0.48271,                 1.1876,                0.97966,                 1.4936,               0.001486,               0.001486,               0.001486
                     89,                 1.2575,                 1.1688,                 1.5351,                0.75595,                0.67674,                0.74556,                0.48244,                 1.1883,                0.97848,                 1.4935,               0.001387,               0.001387,               0.001387
                     90,                 1.2502,                 1.1667,                 1.5327,                 0.7609,                0.67511,                0.74598,                0.48247,                 1.1884,                0.97807,                 1.4931,               0.001288,               0.001288,               0.001288
                     91,                 1.2003,                0.99206,                  1.487,                0.75613,                0.67978,                0.74616,                 0.4832,                 1.1887,                0.97654,                 1.4929,               0.001189,               0.001189,               0.001189
                     92,                   1.19,                0.97261,                 1.4775,                0.75831,                 0.6779,                 0.7473,                0.48388,                 1.1889,                0.97423,                 1.4925,                0.00109,                0.00109,                0.00109
                     93,                 1.1851,                0.96516,                 1.4768,                0.76572,                0.67557,                0.74774,                0.48459,                 1.1887,                0.97177,                 1.4923,               0.000991,               0.000991,               0.000991
                     94,                 1.1822,                0.95601,                 1.4771,                0.76475,                0.67493,                0.74802,                0.48389,                 1.1889,                0.96985,                 1.4925,               0.000892,               0.000892,               0.000892
                     95,                 1.1748,                0.94491,                 1.4637,                 0.7612,                 0.6806,                0.74829,                0.48419,                 1.1897,                0.96893,                  1.493,               0.000793,               0.000793,               0.000793
                     96,                 1.1724,                0.94582,                 1.4605,                0.75773,                0.68262,                0.74855,                0.48413,                 1.1904,                 0.9687,                 1.4933,               0.000694,               0.000694,               0.000694
                     97,                 1.1592,                0.93267,                 1.4544,                 0.7592,                0.68193,                0.74867,                0.48416,                 1.1905,                0.96796,                 1.4935,               0.000595,               0.000595,               0.000595
                     98,                 1.1598,                0.92544,                 1.4562,                0.75817,                0.68125,                0.74857,                0.48404,                 1.1908,                0.96752,                 1.4938,               0.000496,               0.000496,               0.000496
                     99,                 1.1566,                0.92086,                 1.4546,                0.76094,                0.67971,                0.74837,                0.48422,                 1.1909,                 0.9671,                 1.4941,               0.000397,               0.000397,               0.000397
                    100,                 1.1543,                0.91382,                 1.4471,                0.76128,                0.68071,                0.74862,                0.48444,                 1.1912,                0.96694,                 1.4944,               0.000298,               0.000298,               0.000298
